,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2018-03-13,0.010280210733005639,-0.0015153469664955944,-2.7512775425458544e-05,0.0008,0.43835053607238356,0.9982975696417631,-0.5609019300430785,0.42402036092600626,0.0004752604471183708,0.4235451004788879
2018-03-14,0.009729475404438791,0.004682497687354081,-2.3583466349307777e-05,0.0008,0.4404031114437929,0.9982740263246228,-0.5588354501566678,0.4943222935016821,0.0005769644989799835,0.4937453290027021
2018-03-15,0.01015873191779929,-0.005053203606940492,-2.893527572153105e-05,0.0008,0.4381776648525373,0.9982451409904254,-0.561052043371038,0.5483119446004946,0.0007120771451373898,0.5475998674553572
2018-03-16,0.00951366655724375,0.04734220554446299,-1.777903538070484e-05,0.0008,0.4589219619269789,0.9982273931547451,-0.540263105306471,0.5691032707987173,0.0008371201244397139,0.5682661506742775
2018-03-19,0.011160636918128972,0.0200007738116293,3.3149684861843354e-05,0.0008,0.4681007562846696,0.9982604840782485,-0.531083556095187,0.5762656067663349,0.0008862004350728714,0.5753794063312619
2018-03-20,0.010033051172181886,0.039778105702786955,2.2499179486994985e-05,0.0008,0.48672091764771575,0.9982829441200546,-0.5124419178805661,0.5970023702479857,0.0009799569819604259,0.5960224132660253
2018-03-22,0.010838515225352681,0.013051698371829729,2.3671507452170973e-05,0.0008,0.4930734522561139,0.9983065749822058,-0.5060901484447274,0.6395792880607665,0.0010574901439923108,0.6385217979167742
2018-03-23,0.010444118764566383,0.08092147791918596,0.00013948027244321722,0.0008,0.5329736847353939,0.9984458190552662,-0.46619668832937183,0.5732811604802638,0.001005491537719247,0.5722756689425446
2018-03-26,0.010981710776075754,0.048989412792338344,0.00012421387759056115,0.0008,0.5590837525843496,0.9985698398820151,-0.4401155229659174,0.5425180950811138,0.000987966738698025,0.5415301283424158
2018-03-27,0.008709279018702838,0.04132025839832793,3.655260698637278e-05,0.0008,0.5821852377074418,0.9986063402129207,-0.41700226178885513,0.5563403092525162,0.0010749132753691713,0.5552653959771471
2018-03-28,0.009688824301520698,0.0224515266998639,6.635133983802903e-05,0.0008,0.595256185116097,0.9986725990815646,-0.40395262104564794,0.5417416897224467,0.001104827623814628,0.5406368620986322
2018-03-29,0.00903829081197099,0.043834571929911324,6.615510179623413e-05,0.0008,0.6213489851792932,0.9987386663690179,-0.37786629665771376,0.5350743684442105,0.001124520740138063,0.5339498477040725
2018-03-30,0.009695638049390571,0.0046207581875785456,3.339674648980185e-05,0.0008,0.624220088589904,0.9987720209910682,-0.3750124398053335,0.5388549913283647,0.0011858623598444695,0.5376691289685203
2018-04-02,0.009228429962311317,0.05428229495882567,7.806987516562666e-05,0.0008,0.6581041875579655,0.9988499949980659,-0.34113811798213023,0.523149811379848,0.0011568361522647217,0.5219929752275833
2018-04-03,0.009845720615652994,0.030894082084198134,0.00010609555291970384,0.0008,0.6784357123483358,0.9989559685405691,-0.32085523915583525,0.5566512298121794,0.0010943820404246522,0.5555568477717547
2018-04-04,0.008266111934986166,0.0614063180849496,0.00010717274547058362,0.0008,0.720095951500987,0.9990630293943219,-0.2792287069840404,0.5300463392316525,0.00104582886797233,0.5290005103636801
2018-04-05,0.010453271627598312,0.024656674009676784,8.21905693803189e-05,0.0008,0.7378511226328349,0.9991451429535547,-0.26151758046715146,0.5331298123920071,0.0010300254980464038,0.5320997868939606
2018-04-06,0.008997829731102181,0.053457039353817515,0.00011617482042622585,0.0008,0.7772944591326767,0.999261218461117,-0.22213086551109604,0.47873516470089605,0.0009545100730131562,0.4777806546278829
2018-04-09,0.009888562400970176,0.04006018608933855,0.00010113059823414111,0.0008,0.8084330198117435,0.9993622743459322,-0.19105109271725212,0.41058001691288254,0.0008927260924037097,0.40968729082047883
2018-04-10,0.008394854233791273,0.037213271448517556,8.752935097786177e-05,0.0008,0.8385174572259427,0.9994497478771974,-0.16102089273930006,0.33857147857450043,0.0008563392455757322,0.3377151393289247
2018-04-11,0.009065768342532667,0.02847805683171912,0.00010670450726971431,0.0008,0.8623968050272117,0.9995563936700855,-0.13722046050774883,0.33541545610315043,0.0008001938024420294,0.3346152623007084
2018-04-12,0.008185761628566627,0.05065133313806699,0.0001234165031397909,0.0008,0.9060783528958496,0.9996797554248834,-0.09363138747293266,0.28543200047226003,0.0007245103230167634,0.2847074901492433
2018-04-13,0.010012964780634912,0.012860834524449687,9.623555020616962e-05,0.0008,0.917731276658629,0.9997759601561766,-0.08206306889468651,0.3077438821940464,0.0006707973691807296,0.30707308482486567
2018-04-16,0.00854813322931737,0.03932046914681813,8.582778599471104e-05,0.0008,0.9538169010075546,0.9998617687133277,-0.04605123342702256,0.23349507198097816,0.0006001243112678185,0.23289494766971033
2018-04-17,0.009544948649108235,0.007094965500511235,9.467151006426332e-05,0.0008,0.9605841990140077,0.9999564271368273,-0.03937394375828355,0.21497946872222404,0.00048240403712677,0.21449706468509727
2018-04-18,0.008339949082035503,0.04352254615067406,4.907578451422826e-05,0.0008,1.0023912691472032,1.0000055007829691,0.002385755240712301,0.08137560088480247,0.0004169846970329834,0.08095861618776949
2018-04-19,0.00906644532963268,0.05356842031756594,4.370698832312662e-05,0.0008,1.0560877859755389,1.000049208011715,0.05603582055250974,-0.026477983283903092,0.00034392567726412735,-0.02682190896116722
2018-04-20,0.007298567413041751,0.043265710597980706,5.8667452762830556e-05,0.0008,1.1017801744896187,1.0001078783513864,0.10166132908165129,-0.12063521129328958,0.0002240986087950244,-0.1208593099020846
2018-04-23,0.010116976072095581,0.026721645031713894,6.640241227700167e-05,0.0008,1.13122155321531,1.000174287927046,0.13102442931208674,-0.20446803713145584,4.812468582685424e-05,-0.2045161618172827
2018-04-24,0.008175812350834807,0.016080931962123058,4.072833420643949e-05,0.0008,1.1494126500466526,1.0002150233597096,0.14916555260866818,-0.2703742280814255,-8.540557086549653e-05,-0.27028882251056
2018-04-25,0.009047970855143224,-0.00787635953658884,3.939929252702906e-05,0.0008,1.140359462758982,1.0002544311240047,0.14006939362171938,-0.3061780901215273,-0.00020900799491944903,-0.30596908212660784
2018-04-26,0.008049259703538812,-0.015735310501223843,5.117177658812184e-05,0.0008,1.1224155525294606,1.0003056159202854,0.12207262927023904,-0.3263232704744128,-0.0003234970034462395,-0.32599977347096654
2018-04-27,0.008760100241092429,0.02605315841530581,5.0601116699377835e-05,0.0008,1.1516580227273137,1.0003562325014916,0.15124791080421085,-0.37536003171104493,-0.00044918350394718116,-0.37491084820709775
2018-05-01,0.007393299967218461,0.011326354493079466,4.778420362155431e-05,0.0008,1.1647021097475223,1.0004040337273996,0.16423172086578405,-0.4039297030840296,-0.0005615223588746793,-0.4033681807251549
2018-05-02,0.010021351559893211,0.03044156312949193,4.255631843204308e-05,0.0008,1.200157462548454,1.0004466072400195,0.19962170281069408,-0.4425613041379138,-0.0006471812765754612,-0.4419141228613383
2018-05-07,0.008099194435090587,-0.019688262849519935,1.5196041957917926e-05,0.0008,1.176528446964987,1.0004618100686398,0.17598536508281878,-0.4475878911205276,-0.0006925386539099622,-0.44689535246661766
2018-05-08,0.009351026080460066,-0.008022217574366572,-2.2989297721548515e-05,0.0008,1.1670900797810022,1.000438810154229,0.16657817343279802,-0.4434929178161337,-0.0006622675137470985,-0.4428306503023866
2018-05-09,0.007991288277029435,-0.0712272516281384,-1.631522119983921e-05,0.0008,1.0839614609957366,1.0004224877737444,0.08350369393224336,-0.41035272553673063,-0.0006277384226841971,-0.4097249871140464
2018-05-10,0.007770056642326122,-0.051511748131986355,-2.9324771509241888e-05,0.0008,1.0281247112321443,1.0003931506128778,0.0277206622239238,-0.36370884589556046,-0.0005688465987714338,-0.36313999929678903
2018-05-11,0.006601830859248638,-0.05763699699409137,-6.11254458015574e-05,0.0008,0.9688666903413061,1.0003320011355699,-0.03145486774245404,-0.3179069748314676,-0.0004833288828523662,-0.3174236459486153
2018-05-14,0.00850753430691257,-0.0711592093732113,-0.00010954376649023102,0.0008,0.8999229026685789,1.0002224210004247,-0.10027721457346057,-0.23377214684942998,-0.00030377488342697663,-0.233468371966003
2018-05-15,0.007480303911366211,-0.06809673411310478,-9.280093489661281e-05,0.0008,0.8386410920432632,1.0001295994246513,-0.16146758127575492,-0.17996133470815112,-0.00018871818005187195,-0.17977261652809925
2018-05-16,0.008145486809601915,-0.056561396876305466,-8.421855902836905e-05,0.0008,0.7912063803994259,1.0000453699509462,-0.2088295149666701,-0.13011096767120453,-0.00012690551998361364,-0.1299840621512209
2018-05-17,0.008007309734583566,-0.04431352257930983,-6.334702588995411e-05,0.0008,0.7561452385967019,0.9999820200510048,-0.2438411657060252,-0.12379790519002201,-0.00011151052787024035,-0.12368639466215177
2018-05-18,0.0077983104809757325,-0.048632995254772306,-7.51324181006211e-05,0.0008,0.7193716307961099,0.9999068889837812,-0.2805613815430186,-0.08344688149043478,-8.754176565103549e-05,-0.08335933972478374
2018-05-21,0.007123187503460724,-0.03492950978959141,-6.461050517777932e-05,0.0008,0.6942443323758628,0.9998422844945533,-0.30564615725687005,-0.05551629142336053,-9.481203223772281e-05,-0.055421479391122803
2018-05-22,0.009238718518036005,-0.03634184745500021,-4.315437306669595e-05,0.0008,0.6690142107521607,0.9997991369276004,-0.33085138200053593,-0.05083471363169762,-0.00014954020517857835,-0.05068517342651904
2018-05-23,0.008897106343250834,-0.028528019137417236,-3.0191398530897522e-05,0.0008,0.649928560544619,0.9997689515934065,-0.34992123979367507,-0.05318624024718276,-0.00018774418068327736,-0.052998496066499486
2018-05-24,0.010120023616094249,-0.0006687898122118777,7.30212450969864e-06,0.0008,0.6494938949446613,0.999776252030772,-0.35036074959232927,-0.09020479056909443,-0.000270672870293407,-0.08993411769880102
2018-05-25,0.009177531665235916,-0.01591850812728983,1.8236188789776577e-05,0.0008,0.6391549210993596,0.9997944841392515,-0.3607136954254911,-0.10437641443478081,-0.00037251781714835066,-0.10400389661763246
2018-05-28,0.009441717202611727,0.023518144784022442,2.9602316211455192e-05,0.0008,0.6541866590731947,0.9998240803717174,-0.3456982364037688,-0.1528076114423485,-0.00048730747946434683,-0.15232030396288415
